,交易所,代码,公司,行业,亮点数目,风险数目
219,SH,603877,太平鸟,服装与配饰,4,0
220,SH,600658,电子城,工业地产开发和管理,3,2
221,SZ,2549,凯美特气,化学原料,0,2
222,SH,600630,龙头股份,服装与配饰,0,4
223,SH,600743,华远地产,住宅地产开发和管理,1,1
224,SH,600746,江苏索普,化学原料,0,7
225,SZ,2574,明牌珠宝,服装与配饰,1,4
226,SH,600692,亚通股份,住宅地产开发和管理,0,4
227,SZ,2136,安纳达,化学原料,1,3
228,SH,600665,天地源,住宅地产开发和管理,3,2
229,SZ,300387,富邦股份,化学原料,0,4
230,SH,601512,中新集团,工业地产开发和管理,1,1
231,SZ,2400,省广集团,传媒,1,3
232,SZ,2508,老板电器,家用电器,4,0
233,SZ,2759,天际股份,家用电器,1,6
234,SH,603938,三孚股份,化学原料,0,2
235,SZ,665,湖北广电,传媒,0,3
236,SH,603721,中广天择,传媒,1,5
237,SZ,671,阳光城,住宅地产开发和管理,3,1
238,SZ,2146,荣盛发展,住宅地产开发和管理,6,1
239,SZ,300641,正丹股份,化学原料,1,5
240,SZ,2,万科Ａ,住宅地产开发和管理,5,2
241,SH,600839,四川长虹,家用电器,0,3
242,SH,603096,新经典,传媒,4,1
243,SH,601999,出版传媒,传媒,1,3
244,SH,688116,天奈科技,化学原料,1,3
245,SZ,541,佛山照明,家用电器,2,1
246,SH,603067,振华股份,化学原料,2,2
247,SZ,540,中天金融,住宅地产开发和管理,1,3
248,SZ,300037,新宙邦,化学原料,4,3
249,SH,603116,红蜻蜓,服装与配饰,0,3
250,SZ,2035,华帝股份,家用电器,4,1
251,SZ,2003,伟星股份,服装与配饰,3,0
252,SH,603103,横店影视,传媒,2,2
253,SZ,2584,西陇科学,化学原料,0,7
254,SH,600208,新湖中宝,住宅地产开发和管理,1,2
255,SH,600959,江苏有线,传媒,0,4
256,SZ,909,数源科技,住宅地产开发和管理,0,4
257,SH,603608,天创时尚,服装与配饰,2,2
258,SZ,300596,利安隆,化学原料,3,1
259,SH,600551,时代出版,传媒,0,2
260,SZ,2386,天原集团,化学原料,0,6
261,SZ,300650,太龙照明,家用电器,2,4
262,SZ,2776,柏堡龙,服装与配饰,2,2
263,SH,600393,粤泰股份,住宅地产开发和管理,1,6
264,SH,600696,ST岩石,住宅地产开发和管理,0,6
265,SZ,2563,森马服饰,服装与配饰,4,0
266,SZ,31,大悦城,住宅地产开发和管理,3,3
267,SH,600996,贵广网络,传媒,1,7
268,SH,601566,九牧王,服装与配饰,2,2
269,SH,600649,城投控股,住宅地产开发和管理,0,3
270,SZ,801,四川九洲,家用电器,0,3
271,SH,603900,莱绅通灵,服装与配饰,2,5
272,SZ,2905,金逸影视,传媒,1,5
273,SH,600137,浪莎股份,服装与配饰,1,2
274,SZ,6,深振业Ａ,住宅地产开发和管理,0,1
275,SH,603001,奥康国际,服装与配饰,3,4
276,SZ,2109,兴化股份,化学原料,0,4
277,SH,601929,吉视传媒,传媒,0,3
278,SZ,2502,*ST鼎龙,传媒,1,7
279,SH,600088,中视传媒,传媒,0,3
280,SH,603330,上海天洋,化学原料,2,2
281,SZ,2455,百川股份,化学原料,0,7
282,SH,603506,南都物业,住宅地产开发和管理,3,1
283,SH,601588,北辰实业,住宅地产开发和管理,1,3
284,SZ,300612,宣亚国际,传媒,3,5
285,SZ,300721,怡达股份,化学原料,1,7
286,SH,603557,起步股份,服装与配饰,1,2
287,SZ,300591,万里马,服装与配饰,1,6
288,SZ,36,华联控股,住宅地产开发和管理,5,1
289,SH,603515,欧普照明,家用电器,5,0
290,SH,603196,日播时尚,服装与配饰,1,3
291,SZ,2486,嘉麟杰,服装与配饰,1,5
292,SH,600823,世茂股份,住宅地产开发和管理,6,0
293,SZ,545,金浦钛业,化学原料,0,6
294,SZ,886,海南高速,住宅地产开发和管理,0,6
295,SH,600136,当代文体,传媒,1,8
296,SZ,2408,齐翔腾达,化学原料,5,2
297,SH,600367,红星发展,化学原料,0,4
298,SZ,300727,润禾材料,化学原料,0,4
299,SZ,2612,朗姿股份,服装与配饰,1,2
300,SZ,608,阳光股份,住宅地产开发和管理,0,7
301,SH,600067,冠城大通,住宅地产开发和管理,0,3
302,SZ,16,深康佳Ａ,家用电器,1,6
303,SH,600977,中国电影,传媒,1,3
304,SZ,2503,搜于特,服装与配饰,0,4
305,SZ,2314,南山控股,住宅地产开发和管理,2,4
306,SZ,300072,三聚环保,化学原料,0,5
307,SZ,926,福星股份,住宅地产开发和管理,1,1
308,SH,600657,信达地产,住宅地产开发和管理,2,1
309,SH,603612,索通发展,化学原料,4,0
310,SZ,300243,瑞丰高材,化学原料,2,2
311,SH,603657,春光科技,家用电器,0,3
312,SH,600133,东湖高新,工业地产开发和管理,1,5
313,SZ,667,美好置业,住宅地产开发和管理,2,2
314,SH,601678,滨化股份,化学原料,2,3
315,SZ,607,华媒控股,传媒,1,4
316,SZ,620,新华联,住宅地产开发和管理,0,6
317,SZ,300770,新媒股份,传媒,5,1
318,SZ,681,视觉中国,传媒,2,2
319,SH,600398,海澜之家,服装与配饰,4,0
320,SH,600722,金牛化工,化学原料,0,5
321,SH,601595,上海电影,传媒,1,1
322,SZ,300285,国瓷材料,化学原料,5,2
323,SZ,300251,光线传媒,传媒,3,0
324,SZ,2875,安奈儿,服装与配饰,1,3
325,SH,600708,光明地产,住宅地产开发和管理,1,4
326,SZ,2597,金禾实业,化学原料,5,1
327,SZ,300788,中信出版,传媒,2,0
328,SH,601801,皖新传媒,传媒,0,1
329,SZ,506,中润资源,住宅地产开发和管理,0,10
